College,Company,MOU_Status,Placement_Rate_%,Avg_Package_LPA,Highest_Package_LPA,Eligible_Branches,Internship_Program
NIT Tiruchirappalli,TCS,Active,92,8.5,32,CSE;IT;ECE,Yes
NIT Tiruchirappalli,Infosys,Active,88,7.2,18,All,Yes
NIT Surathkal,Microsoft,Active,35,28.0,62,CSE,Yes
NIT Warangal,Amazon,Active,42,24.0,55,CSE;IT,Yes
NIT Calicut,Accenture,Active,74,6.8,16,All,Yes
IIIT Allahabad,Google,Active,30,35.0,70,CSE;IT,Yes
IIIT Lucknow,Adobe,Active,26,22.0,48,CSE,Yes
NIT Rourkela,Wipro,Active,70,5.8,14,All,Yes
NIT Kurukshetra,Capgemini,Active,66,6.0,15,All,Yes
NIT Silchar,Cognizant,Active,64,5.5,13,All,Yes
NIT Durgapur,Deloitte,Active,51,8.2,20,CSE;ECE,Yes
IIIT Kottayam,IBM,Active,58,9.5,24,CSE;IT,Yes
IIIT Pune,Oracle,Active,33,18.0,40,CSE,Yes
NIT Jalandhar,HCLTech,Active,62,6.2,15,All,Yes
NIT Hamirpur,L&T,Active,47,7.8,18,Mechanical;Civil;EEE,Yes
NIT Meghalaya,Tech Mahindra,Active,55,5.4,12,All,Yes
NIT Goa,Siemens,Active,41,9.0,22,ECE;EEE,Yes
IIITDM Kancheepuram,Qualcomm,Active,28,20.0,44,ECE;CSE,Yes
NIT Agartala,Bosch,Active,44,7.1,17,Mechanical;ECE,Yes
NIT Patna,Samsung,Active,39,14.0,30,ECE;CSE,Yes
